student_id,gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,math_difficulty,reading_difficulty,writing_difficulty
S1000,female,group B,bachelor's degree,standard,none,72,72,74,0.75,0.88,0.89
S1001,female,group C,some college,standard,completed,69,90,88,0.76,0.86,0.74
S1002,female,group B,master's degree,standard,none,90,95,93,0.85,0.82,0.65
S1003,male,group A,associate's degree,free/reduced,none,47,57,44,0.81,0.92,0.71
S1004,male,group C,some college,standard,none,76,78,75,0.57,0.77,0.52
S1005,female,group B,associate's degree,standard,none,71,83,78,0.58,0.97,0.65
S1006,female,group B,some college,standard,completed,88,95,92,0.81,0.81,0.41
S1007,male,group B,some college,free/reduced,none,40,43,39,0.61,0.67,0.55
S1008,male,group D,high school,free/reduced,completed,64,64,67,0.92,0.81,0.84
S1009,female,group B,high school,free/reduced,none,38,60,50,0.76,0.77,0.62
S1010,male,group C,associate's degree,standard,none,58,54,52,0.7,0.68,0.79
S1011,male,group D,associate's degree,standard,none,40,52,43,0.61,0.79,0.57
S1012,female,group B,high school,standard,none,65,81,73,0.58,0.83,0.74
S1013,male,group A,some college,standard,completed,78,72,70,0.83,0.69,0.89
S1014,female,group A,master's degree,standard,none,50,53,58,0.55,0.7,0.77
S1015,female,group C,some high school,standard,none,69,75,78,0.54,0.77,0.6
S1016,male,group C,high school,standard,none,88,89,86,0.79,0.74,0.81
S1017,female,group B,some high school,free/reduced,none,18,32,28,0.6,0.97,0.69
S1018,male,group C,master's degree,free/reduced,completed,46,42,46,0.71,0.86,0.56
S1019,female,group C,associate's degree,free/reduced,none,54,58,61,0.93,0.77,0.7
S1020,male,group D,high school,standard,none,66,69,63,0.76,0.97,0.63
S1021,female,group B,some college,free/reduced,completed,65,75,70,0.75,0.89,0.5
S1022,male,group D,some college,standard,none,44,54,53,0.76,0.84,0.73
S1023,female,group C,some high school,standard,none,69,73,73,0.65,0.89,0.72
S1024,male,group D,bachelor's degree,free/reduced,completed,74,71,80,0.87,0.82,0.79
S1025,male,group A,master's degree,free/reduced,none,73,74,72,0.59,0.98,0.89
S1026,male,group B,some college,standard,none,69,54,55,0.87,0.87,0.53
S1027,female,group C,bachelor's degree,standard,none,67,69,75,0.57,0.92,0.88
S1028,male,group C,high school,standard,none,70,70,65,0.66,0.71,0.51
S1029,female,group D,master's degree,standard,none,62,70,75,0.66,0.67,0.64
S1030,female,group D,some college,standard,none,69,74,74,0.58,0.68,0.67
S1031,female,group B,some college,standard,none,63,65,61,0.62,0.93,0.79
S1032,female,group E,master's degree,free/reduced,none,56,72,65,0.95,0.62,0.69
S1033,male,group D,some college,standard,none,40,42,38,0.93,0.62,0.78
S1034,male,group E,some college,standard,none,97,87,82,0.76,0.63,0.76
S1035,male,group E,associate's degree,standard,completed,81,81,79,0.72,0.87,0.47
S1036,female,group D,associate's degree,standard,none,74,81,83,0.53,0.92,0.53
S1037,female,group D,some high school,free/reduced,none,50,64,59,0.54,0.74,0.57
S1038,female,group D,associate's degree,free/reduced,completed,75,90,88,0.94,0.81,0.55
S1039,male,group B,associate's degree,free/reduced,none,57,56,57,0.57,0.62,0.79
S1040,male,group C,associate's degree,free/reduced,none,55,61,54,0.78,0.97,0.44
S1041,female,group C,associate's degree,standard,none,58,73,68,0.63,0.69,0.41
S1042,female,group B,associate's degree,standard,none,53,58,65,0.6,0.65,0.42
S1043,male,group B,some college,free/reduced,completed,59,65,66,0.62,0.82,0.42
S1044,female,group E,associate's degree,free/reduced,none,50,56,54,0.87,0.94,0.68
S1045,male,group B,associate's degree,standard,none,65,54,57,0.68,0.76,0.73
S1046,female,group A,associate's degree,standard,completed,55,65,62,0.53,0.98,0.48
S1047,female,group C,high school,standard,none,66,71,76,0.57,0.9,0.79
S1048,female,group D,associate's degree,free/reduced,completed,57,74,76,0.5,0.92,0.73
S1049,male,group C,high school,standard,completed,82,84,82,0.74,0.77,0.56
S1050,male,group E,some college,standard,none,53,55,48,0.68,0.83,0.73
S1051,male,group E,associate's degree,free/reduced,completed,77,69,68,0.56,0.84,0.89
S1052,male,group C,some college,standard,none,53,44,42,0.55,0.73,0.4
S1053,male,group D,high school,standard,none,88,78,75,0.77,0.91,0.64
S1054,female,group C,some high school,free/reduced,completed,71,84,87,0.84,0.95,0.72
S1055,female,group C,high school,free/reduced,none,33,41,43,0.85,0.91,0.6
S1056,female,group E,associate's degree,standard,completed,82,85,86,0.64,0.63,0.58
S1057,male,group D,associate's degree,standard,none,52,55,49,0.99,0.84,0.52
S1058,male,group D,some college,standard,completed,58,59,58,0.68,0.85,0.47
S1059,female,group C,some high school,free/reduced,none,0,17,10,0.53,0.93,0.73
S1060,male,group E,bachelor's degree,free/reduced,completed,79,74,72,0.97,0.85,0.64
S1061,male,group A,some high school,free/reduced,none,39,39,34,0.98,0.73,0.9
S1062,male,group A,associate's degree,free/reduced,none,62,61,55,0.9,0.97,0.61
S1063,female,group C,associate's degree,standard,none,69,80,71,0.98,0.87,0.8
S1064,female,group D,some high school,standard,none,59,58,59,0.92,0.67,0.56
S1065,male,group B,some high school,standard,none,67,64,61,0.83,0.83,0.42
S1066,male,group D,some high school,free/reduced,none,45,37,37,0.99,0.82,0.88
S1067,female,group C,some college,standard,none,60,72,74,0.84,0.93,0.68
S1068,male,group B,associate's degree,free/reduced,none,61,58,56,0.93,0.74,0.41
S1069,female,group C,associate's degree,standard,none,39,64,57,0.64,0.77,0.87
S1070,female,group D,some college,free/reduced,completed,58,63,73,0.93,0.63,0.48
S1071,male,group D,some college,standard,completed,63,55,63,0.63,0.86,0.41
S1072,female,group A,associate's degree,free/reduced,none,41,51,48,0.73,0.98,0.87
S1073,male,group C,some high school,free/reduced,none,61,57,56,0.77,0.84,0.53
S1074,male,group C,some high school,standard,none,49,49,41,0.71,0.95,0.83
S1075,male,group B,associate's degree,free/reduced,none,44,41,38,0.65,0.77,0.4
S1076,male,group E,some high school,standard,none,30,26,22,0.59,0.71,0.57
S1077,male,group A,bachelor's degree,standard,completed,80,78,81,0.6,0.73,0.76
S1078,female,group D,some high school,standard,completed,61,74,72,0.64,0.73,0.72
S1079,female,group E,master's degree,standard,none,62,68,68,0.66,0.94,0.42
S1080,female,group B,associate's degree,standard,none,47,49,50,0.9,0.82,0.65
S1081,male,group B,high school,free/reduced,none,49,45,45,0.92,0.86,0.59
S1082,male,group A,some college,free/reduced,completed,50,47,54,0.72,0.78,0.41
S1083,male,group E,associate's degree,standard,none,72,64,63,0.87,0.95,0.56
S1084,male,group D,high school,free/reduced,none,42,39,34,0.68,0.96,0.43
S1085,female,group C,some college,standard,none,73,80,82,0.8,0.66,0.49
S1086,female,group C,some college,free/reduced,none,76,83,88,0.72,0.89,0.86
S1087,female,group D,associate's degree,standard,none,71,71,74,0.54,0.61,0.6
S1088,female,group A,some college,standard,none,58,70,67,0.71,0.73,0.53
S1089,female,group D,some high school,standard,none,73,86,82,0.88,0.91,0.84
S1090,female,group C,bachelor's degree,standard,none,65,72,74,0.59,0.63,0.7
S1091,male,group C,high school,free/reduced,none,27,34,36,0.96,0.75,0.49
S1092,male,group C,high school,standard,none,71,79,71,0.56,0.97,0.59
S1093,male,group C,associate's degree,free/reduced,completed,43,45,50,0.97,0.88,0.52
S1094,female,group B,some college,standard,none,79,86,92,0.75,0.82,0.8
S1095,male,group C,associate's degree,free/reduced,completed,78,81,82,0.68,0.96,0.55
S1096,male,group B,some high school,standard,completed,65,66,62,0.76,0.73,0.86
S1097,female,group E,some college,standard,completed,63,72,70,0.65,0.82,0.66
S1098,female,group D,some college,free/reduced,none,58,67,62,0.61,0.97,0.47
S1099,female,group D,bachelor's degree,standard,none,65,67,62,0.59,0.69,0.54
S1100,male,group B,some college,standard,none,79,67,67,0.56,0.68,0.89
S1101,male,group D,bachelor's degree,standard,completed,68,74,74,0.84,0.72,0.49
S1102,female,group D,associate's degree,standard,none,85,91,89,0.82,0.95,0.63
S1103,male,group B,high school,standard,completed,60,44,47,0.67,0.61,0.44
S1104,male,group C,some college,standard,completed,98,86,90,0.63,0.96,0.66
S1105,female,group C,some college,standard,none,58,67,72,0.74,0.76,0.51
S1106,female,group D,master's degree,standard,none,87,100,100,0.77,0.69,0.47
S1107,male,group E,associate's degree,standard,completed,66,63,64,0.71,0.78,0.82
S1108,female,group B,associate's degree,free/reduced,none,52,76,70,0.77,0.71,0.62
S1109,female,group B,some high school,standard,none,70,64,72,1,0.62,0.45
S1110,female,group D,associate's degree,free/reduced,completed,77,89,98,0.97,0.71,0.72
S1111,male,group C,high school,standard,none,62,55,49,0.66,0.89,0.78
S1112,male,group A,associate's degree,standard,none,54,53,47,0.99,0.69,0.49
S1113,female,group D,some college,standard,none,51,58,54,0.74,0.7,0.56
S1114,female,group E,bachelor's degree,standard,completed,99,100,100,0.63,0.75,0.62
S1115,male,group C,high school,standard,none,84,77,74,0.96,0.87,0.88
S1116,female,group B,bachelor's degree,free/reduced,none,75,85,82,0.7,0.99,0.47
S1117,female,group D,bachelor's degree,standard,none,78,82,79,0.59,0.67,0.4
S1118,female,group D,some high school,standard,none,51,63,61,0.94,0.84,0.76
S1119,female,group C,some college,standard,none,55,69,65,0.53,0.87,0.67
S1120,female,group C,bachelor's degree,standard,completed,79,92,89,0.69,0.65,0.89
S1121,male,group B,associate's degree,standard,completed,91,89,92,0.73,0.73,0.87
S1122,female,group C,some college,standard,completed,88,93,93,0.78,0.66,0.45
S1123,male,group D,high school,free/reduced,none,63,57,56,0.94,0.97,0.66
S1124,male,group E,some college,standard,none,83,80,73,0.83,0.61,0.73
S1125,female,group B,high school,standard,none,87,95,86,0.83,0.73,0.55
S1126,male,group B,some high school,standard,none,72,68,67,0.83,0.92,0.69
S1127,male,group D,some college,standard,completed,65,77,74,0.92,0.85,0.78
S1128,male,group D,master's degree,standard,none,82,82,74,0.7,0.93,0.79
S1129,female,group A,bachelor's degree,standard,none,51,49,51,0.52,0.83,0.68
S1130,male,group D,master's degree,standard,none,89,84,82,0.65,0.9,0.42
S1131,male,group C,some high school,free/reduced,completed,53,37,40,0.76,0.81,0.42
S1132,male,group E,some college,free/reduced,completed,87,74,70,0.89,0.79,0.7
S1133,female,group C,some college,standard,completed,75,81,84,0.52,0.98,0.55
S1134,male,group D,bachelor's degree,free/reduced,completed,74,79,75,0.74,0.66,0.5
S1135,male,group C,bachelor's degree,standard,none,58,55,48,0.75,0.7,0.57
S1136,male,group B,some high school,standard,completed,51,54,41,0.88,0.94,0.76
S1137,male,group E,high school,standard,none,70,55,56,0.6,0.62,0.67
S1138,female,group C,associate's degree,standard,none,59,66,67,0.62,0.69,0.68
S1139,male,group D,some college,standard,completed,71,61,69,0.68,0.99,0.79
S1140,female,group D,some high school,standard,none,76,72,71,0.77,0.66,0.77
S1141,female,group C,some college,free/reduced,none,59,62,64,0.95,0.87,0.71
S1142,female,group E,some college,free/reduced,completed,42,55,54,0.56,0.83,0.88
S1143,male,group A,high school,standard,none,57,43,47,0.61,0.84,0.41
S1144,male,group D,some college,standard,none,88,73,78,0.87,0.77,0.73
S1145,female,group C,some college,free/reduced,none,22,39,33,0.77,0.66,0.63
S1146,male,group B,some high school,standard,none,88,84,75,0.92,0.99,0.79
S1147,male,group C,associate's degree,free/reduced,none,73,68,66,0.6,0.9,0.62
S1148,female,group D,bachelor's degree,standard,completed,68,75,81,0.81,0.99,0.77
S1149,male,group E,associate's degree,free/reduced,completed,100,100,93,0.57,0.8,0.76
S1150,male,group A,some high school,standard,completed,62,67,69,0.78,0.95,0.8
S1151,male,group A,bachelor's degree,standard,none,77,67,68,0.7,0.65,0.8
S1152,female,group B,associate's degree,standard,completed,59,70,66,0.9,0.64,0.59
S1153,male,group D,bachelor's degree,standard,none,54,49,47,0.85,0.89,0.47
S1154,male,group D,some high school,standard,none,62,67,61,0.71,0.73,0.67
S1155,female,group C,some college,standard,completed,70,89,88,0.97,0.78,0.76
S1156,female,group E,high school,free/reduced,completed,66,74,78,0.65,0.93,0.89
S1157,male,group B,some college,free/reduced,none,60,60,60,0.52,0.83,0.82
S1158,female,group B,associate's degree,standard,completed,61,86,87,0.6,0.94,0.6
S1159,male,group D,associate's degree,free/reduced,none,66,62,64,0.54,0.97,0.8
S1160,male,group B,associate's degree,free/reduced,completed,82,78,74,0.85,0.65,0.6
S1161,female,group E,some college,free/reduced,completed,75,88,85,0.67,0.67,0.4
S1162,male,group B,master's degree,free/reduced,none,49,53,52,0.92,0.72,0.74
S1163,male,group C,high school,standard,none,52,53,49,0.96,0.75,0.67
S1164,female,group E,master's degree,standard,none,81,92,91,0.52,0.71,0.82
S1165,female,group C,bachelor's degree,standard,completed,96,100,100,0.64,0.9,0.56
S1166,male,group C,high school,free/reduced,completed,53,51,51,0.66,0.9,0.63
S1167,female,group B,master's degree,free/reduced,completed,58,76,78,0.66,0.75,0.86
S1168,female,group B,high school,standard,completed,68,83,78,0.84,0.84,0.42
S1169,female,group C,some college,free/reduced,completed,67,75,70,0.81,1,0.59
S1170,male,group A,high school,standard,completed,72,73,74,0.95,0.69,0.55
S1171,male,group E,some high school,standard,none,94,88,78,0.94,0.83,0.76
S1172,female,group D,some college,standard,none,79,86,81,0.8,0.71,0.85
S1173,female,group C,associate's degree,standard,none,63,67,70,0.71,0.61,0.64
S1174,female,group C,bachelor's degree,free/reduced,completed,43,51,54,0.66,0.71,0.69
S1175,female,group C,master's degree,standard,completed,81,91,87,0.52,0.8,0.68
S1176,female,group B,high school,free/reduced,completed,46,54,58,0.6,0.68,0.58
S1177,female,group C,associate's degree,standard,completed,71,77,77,0.92,0.82,0.54
S1178,female,group B,master's degree,free/reduced,completed,52,70,62,0.87,0.97,0.66
S1179,female,group D,some high school,standard,completed,97,100,100,0.9,0.62,0.88
S1180,male,group C,master's degree,free/reduced,completed,62,68,75,0.5,0.69,0.53
S1181,female,group C,some college,free/reduced,none,46,64,66,0.51,0.92,0.75
S1182,female,group E,high school,standard,none,50,50,47,0.8,0.7,0.53
S1183,female,group D,associate's degree,standard,none,65,69,70,0.61,0.66,0.42
S1184,male,group C,some high school,free/reduced,completed,45,52,49,0.67,0.69,0.64
S1185,male,group C,associate's degree,free/reduced,completed,65,67,65,0.94,0.6,0.85
S1186,male,group E,high school,standard,none,80,76,65,0.97,0.84,0.66
S1187,male,group D,some high school,standard,completed,62,66,68,0.85,0.9,0.7
S1188,male,group B,some high school,free/reduced,none,48,52,45,0.72,0.83,0.49
S1189,female,group C,bachelor's degree,standard,none,77,88,87,0.84,0.64,0.74
S1190,female,group E,associate's degree,standard,none,66,65,69,0.79,0.79,0.44
S1191,male,group D,some college,standard,completed,76,83,79,0.59,0.89,0.61
S1192,female,group B,some high school,standard,none,62,64,66,0.92,0.87,0.69
S1193,male,group D,some college,standard,completed,77,62,62,0.89,0.72,0.67
S1194,female,group C,master's degree,standard,completed,69,84,85,0.81,0.92,0.88
S1195,male,group D,associate's degree,standard,none,61,55,52,0.6,0.9,0.65
S1196,male,group C,some high school,free/reduced,completed,59,69,65,0.61,0.62,0.51
S1197,male,group E,high school,free/reduced,none,55,56,51,0.56,0.95,0.87
S1198,female,group B,some college,free/reduced,none,45,53,55,0.95,0.78,0.86
S1199,female,group B,bachelor's degree,free/reduced,none,78,79,76,0.83,0.65,0.74
S1200,female,group C,associate's degree,standard,completed,67,84,86,0.79,0.78,0.75
S1201,female,group D,some college,free/reduced,none,65,81,77,0.82,0.72,0.78
S1202,male,group C,associate's degree,standard,none,69,77,69,0.52,0.75,0.65
S1203,female,group B,associate's degree,standard,none,57,69,68,0.53,0.98,0.45
S1204,male,group C,some college,standard,none,59,41,42,0.76,0.94,0.63
S1205,male,group D,some high school,standard,completed,74,71,78,0.75,0.98,0.74
S1206,male,group E,bachelor's degree,standard,none,82,62,62,0.88,0.71,0.47
S1207,male,group E,high school,standard,completed,81,80,76,0.95,0.9,0.4
S1208,female,group B,some college,free/reduced,none,74,81,76,0.83,0.68,0.53
S1209,female,group B,some college,free/reduced,none,58,61,66,0.67,0.61,0.8
S1210,male,group D,some high school,free/reduced,completed,80,79,79,0.96,0.92,0.53
S1211,male,group C,some college,free/reduced,none,35,28,27,0.68,0.69,0.86
S1212,female,group C,high school,free/reduced,none,42,62,60,0.71,0.93,0.87
S1213,male,group C,associate's degree,free/reduced,completed,60,51,56,0.81,0.77,0.74
S1214,male,group E,high school,standard,completed,87,91,81,0.62,0.96,0.87
S1215,male,group B,some high school,standard,completed,84,83,75,0.72,0.82,0.54
S1216,female,group E,associate's degree,free/reduced,completed,83,86,88,0.98,0.63,0.7
S1217,female,group C,high school,free/reduced,none,34,42,39,0.55,0.63,0.69
S1218,male,group B,high school,free/reduced,none,66,77,70,0.97,0.63,0.43
S1219,male,group B,some high school,standard,completed,61,56,56,0.74,0.87,0.81
S1220,female,group D,high school,standard,completed,56,68,74,0.67,0.93,0.71
S1221,male,group B,associate's degree,standard,none,87,85,73,0.83,0.62,0.68
S1222,female,group C,some high school,free/reduced,none,55,65,62,0.6,0.72,0.51
S1223,male,group D,some high school,standard,none,86,80,75,0.8,0.61,0.74
S1224,female,group B,associate's degree,standard,completed,52,66,73,0.89,0.65,0.78
S1225,female,group E,master's degree,free/reduced,none,45,56,54,0.52,0.93,0.48
S1226,female,group C,some college,standard,none,72,72,71,0.95,0.63,0.48
S1227,male,group D,high school,standard,none,57,50,54,0.59,0.99,0.84
S1228,male,group A,some high school,free/reduced,none,68,72,64,0.7,0.76,0.65
S1229,female,group C,some college,standard,completed,88,95,94,0.95,0.96,0.52
S1230,male,group D,some college,standard,none,76,64,66,0.51,0.89,0.6
S1231,male,group C,associate's degree,standard,none,46,43,42,0.76,0.69,0.54
S1232,female,group B,bachelor's degree,standard,none,67,86,83,0.72,0.92,0.46
S1233,male,group E,some high school,standard,none,92,87,78,0.76,0.89,0.69
S1234,male,group C,bachelor's degree,standard,completed,83,82,84,0.75,0.63,0.43
S1235,male,group D,associate's degree,standard,none,80,75,77,0.95,0.99,0.79
S1236,male,group D,bachelor's degree,free/reduced,none,63,66,67,0.83,0.7,0.73
S1237,female,group D,some high school,standard,completed,64,60,74,0.92,0.77,0.55
S1238,male,group B,some college,standard,none,54,52,51,0.88,0.78,0.49
S1239,male,group C,associate's degree,standard,none,84,80,80,0.8,0.74,0.5
S1240,male,group D,high school,free/reduced,completed,73,68,66,0.57,0.91,0.75
S1241,female,group E,bachelor's degree,standard,none,80,83,83,0.7,0.69,0.56
S1242,female,group D,high school,standard,none,56,52,55,0.65,0.85,0.66
S1243,male,group E,some college,standard,none,59,51,43,0.7,0.61,0.63
S1244,male,group D,some high school,standard,none,75,74,69,0.63,0.81,0.77
S1245,male,group C,associate's degree,standard,none,85,76,71,0.82,0.66,0.5
S1246,male,group E,associate's degree,standard,none,89,76,74,0.53,0.87,0.44
S1247,female,group B,high school,standard,completed,58,70,68,0.69,0.94,0.77
S1248,female,group B,high school,standard,none,65,64,62,0.86,0.72,0.52
S1249,male,group C,high school,standard,none,68,60,53,0.81,0.7,0.59
S1250,male,group A,some high school,standard,completed,47,49,49,0.99,0.77,0.89
S1251,female,group D,some college,free/reduced,none,71,83,83,0.61,0.84,0.69
S1252,female,group B,some high school,standard,completed,60,70,70,0.71,0.79,0.73
S1253,male,group D,master's degree,standard,none,80,80,72,0.88,0.74,0.45
S1254,male,group D,high school,standard,none,54,52,52,0.5,0.89,0.69
S1255,female,group E,some college,standard,none,62,73,70,0.98,0.76,0.71
S1256,female,group C,associate's degree,free/reduced,none,64,73,68,0.59,0.61,0.4
S1257,male,group C,associate's degree,standard,completed,78,77,77,0.97,0.85,0.41
S1258,female,group B,some college,standard,none,70,75,78,0.53,0.62,0.45
S1259,female,group C,master's degree,free/reduced,completed,65,81,81,0.73,0.92,0.45
S1260,female,group C,some high school,free/reduced,completed,64,79,77,0.54,0.82,0.65
S1261,male,group C,some college,standard,completed,79,79,78,0.79,0.72,0.6
S1262,female,group C,some high school,free/reduced,none,44,50,51,0.62,0.71,0.54
S1263,female,group E,high school,standard,none,99,93,90,0.52,0.7,0.41
S1264,male,group D,high school,standard,none,76,73,68,0.77,0.86,0.72
S1265,male,group D,some high school,free/reduced,none,59,42,41,0.84,0.96,0.8
S1266,female,group C,bachelor's degree,standard,none,63,75,81,0.67,0.96,0.63
S1267,female,group D,high school,standard,none,69,72,77,0.83,0.76,0.7
S1268,female,group D,associate's degree,standard,completed,88,92,95,0.81,0.71,0.84
S1269,female,group E,some college,free/reduced,none,71,76,70,0.56,0.83,0.7
S1270,male,group C,bachelor's degree,standard,none,69,63,61,0.88,0.88,0.44
S1271,male,group C,some college,standard,none,58,49,42,0.5,0.69,0.74
S1272,female,group D,associate's degree,free/reduced,none,47,53,58,0.62,0.98,0.63
S1273,female,group D,some college,standard,none,65,70,71,0.93,0.75,0.67
S1274,male,group B,some college,standard,completed,88,85,76,0.53,0.63,0.88
S1275,male,group C,bachelor's degree,standard,none,83,78,73,0.93,0.66,0.66
S1276,female,group C,some high school,standard,completed,85,92,93,0.96,0.66,0.54
S1277,female,group E,high school,standard,completed,59,63,75,0.94,0.66,0.66
S1278,female,group C,some high school,free/reduced,none,65,86,80,0.56,0.74,0.78
S1279,male,group B,bachelor's degree,free/reduced,none,73,56,57,0.89,0.96,0.45
S1280,male,group D,high school,standard,none,53,52,42,0.75,0.99,0.84
S1281,male,group D,high school,standard,none,45,48,46,0.62,0.77,0.56
S1282,female,group D,bachelor's degree,free/reduced,none,73,79,84,0.55,0.75,0.88
S1283,female,group D,some college,free/reduced,completed,70,78,78,0.54,0.72,0.41
S1284,female,group B,some high school,standard,none,37,46,46,0.81,0.76,0.48
S1285,male,group B,associate's degree,standard,completed,81,82,82,0.57,0.67,0.56
S1286,male,group E,associate's degree,standard,completed,97,82,88,0.95,0.85,0.44
S1287,female,group B,some high school,standard,none,67,89,82,0.63,0.92,0.46
S1288,male,group B,bachelor's degree,free/reduced,none,88,75,76,0.86,0.78,0.85
S1289,male,group E,some high school,standard,completed,77,76,77,0.65,0.66,0.87
S1290,male,group C,associate's degree,standard,none,76,70,68,0.73,0.93,0.68
S1291,male,group D,some high school,standard,none,86,73,70,0.74,0.94,0.78
S1292,male,group C,some high school,standard,completed,63,60,57,0.95,0.94,0.4
S1293,female,group E,bachelor's degree,standard,none,65,73,75,0.83,0.63,0.55
S1294,male,group D,high school,free/reduced,completed,78,77,80,0.56,0.78,0.88
S1295,male,group B,associate's degree,free/reduced,none,67,62,60,0.58,0.8,0.42
S1296,male,group A,some high school,standard,completed,46,41,43,0.75,0.65,0.64
S1297,male,group E,associate's degree,standard,completed,71,74,68,0.54,0.7,0.61
S1298,male,group C,high school,free/reduced,completed,40,46,50,0.8,0.85,0.71
S1299,male,group D,associate's degree,free/reduced,none,90,87,75,0.98,0.87,0.42
S1300,male,group A,some college,free/reduced,completed,81,78,81,0.81,0.9,0.54
S1301,male,group D,some high school,free/reduced,none,56,54,52,0.89,0.75,0.68
S1302,female,group C,associate's degree,standard,completed,67,84,81,0.59,0.9,0.53
S1303,male,group B,associate's degree,standard,none,80,76,64,0.73,0.69,0.49
S1304,female,group C,associate's degree,standard,completed,74,75,83,0.83,0.72,0.77
S1305,male,group A,some college,standard,none,69,67,69,0.75,0.8,0.59
S1306,male,group E,some college,standard,completed,99,87,81,0.57,0.68,0.77
S1307,male,group C,some high school,standard,none,51,52,44,0.8,0.69,0.87
S1308,female,group B,associate's degree,free/reduced,none,53,71,67,0.78,0.7,0.8
S1309,female,group D,high school,free/reduced,none,49,57,52,0.93,0.97,0.41
S1310,female,group B,associate's degree,standard,none,73,76,80,0.6,0.99,0.44
S1311,male,group B,bachelor's degree,standard,none,66,60,57,0.92,0.95,0.48
S1312,male,group D,bachelor's degree,standard,completed,67,61,68,0.73,1,0.62
S1313,female,group C,associate's degree,free/reduced,completed,68,67,69,0.63,0.7,0.71
S1314,female,group C,bachelor's degree,standard,completed,59,64,75,0.7,0.8,0.84
S1315,male,group C,high school,standard,none,71,66,65,0.91,0.93,0.87
S1316,female,group D,master's degree,standard,completed,77,82,91,0.54,0.8,0.72
S1317,male,group C,associate's degree,standard,none,83,72,78,0.87,0.92,0.67
S1318,male,group B,bachelor's degree,standard,none,63,71,69,0.73,0.81,0.7
S1319,female,group D,associate's degree,free/reduced,none,56,65,63,0.66,0.82,0.62
S1320,female,group C,high school,free/reduced,completed,67,79,84,0.88,0.7,0.81
S1321,female,group E,high school,standard,none,75,86,79,0.97,0.75,0.66
S1322,female,group C,some college,standard,none,71,81,80,0.88,0.85,0.88
S1323,female,group C,some high school,free/reduced,none,43,53,53,0.84,0.78,0.89
S1324,female,group C,high school,free/reduced,none,41,46,43,0.8,0.71,0.5
S1325,female,group C,some college,standard,none,82,90,94,0.66,0.93,0.6
S1326,male,group C,some college,standard,none,61,61,62,0.7,0.91,0.75
S1327,male,group A,some college,free/reduced,none,28,23,19,0.62,0.88,0.88
S1328,male,group C,associate's degree,standard,completed,82,75,77,0.64,0.71,0.7
S1329,female,group B,some high school,standard,none,41,55,51,0.71,0.65,0.71
S1330,male,group C,high school,standard,none,71,60,61,0.88,0.62,0.52
